"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C565";"B4";"24/02/2021 21:10:35";"D012";"Alimentos frescos";"Fruta y verdura";"2"
"C562";"B4";"24/02/2021 21:09:38";"D008";"Comida Preparada";"Cocido";"1"
"C566";"B7";"24/02/2021 21:09:12";"D002";"Comida Preparada";"Pollo frito";"2"
"C559";"B4";"24/02/2021 21:08:49";"D019";"Alimentos frescos";"Filetes empanados";"2"
"C565";"B7";"24/02/2021 21:08:06";"D012";"Alimentos frescos";"Fruta y verdura";"2"
"C566";"B1";"24/02/2021 21:07:39";"D002";"Comida Preparada";"Pollo frito";"3"
"C565";"B1";"24/02/2021 21:07:22";"D012";"Alimentos frescos";"Fruta y verdura";"3"
"C562";"B7";"24/02/2021 21:07:03";"D008";"Comida Preparada";"Cocido";"2"
"C545";"B7";"24/02/2021 21:06:23";"D008";"Comida Preparada";"Lentejas chorizo";"2"
"C558";"B7";"24/02/2021 21:02:46";"D001";"Alimentos frescos";"Repollo zanahoria";"1"
"C559";"B1";"24/02/2021 20:51:15";"D019";"Alimentos Frescos";"Filetes rusos";"2"
"C551";"B12";"23/02/2021 21:59:09";"D019";"Alimentos Frescos";"Filetes rusos";"5"
"C559";"B12";"23/02/2021 21:57:30";"D019";"Alimentos Frescos";"Filetes empanados";"5"
"C558";"B11";"23/02/2021 21:56:50";"D001";"Alimentos Frescos";"Repollo zanahoria";"2"
"C560";"B04";"23/02/2021 21:53:52";"D001";"Alimentos Frescos";"Chuletas de cerdo";"2"
"C555";"B04";"23/02/2021 21:52:26";"D002";"Alimentos Frescos";"Menestra";"5"
"C554";"B004";"23/02/2021 21:51:29";"D019";"Alimentos Frescos";"Pollo al horno";"5"
"C559";"B01";"23/02/2021 21:50:08";"D004";"Alimentos Frescos";"Filetes empanados";"5"
"C557";"B01";"23/02/2021 21:49:21";"D004";"Alimentos Frescos";"Costillas con tomate";"4"
"C549";"B14";"23/02/2021 21:25:42";"D004";"Alimentos Frescos";"Pan";"1"
"C549";"B12";"23/02/2021 21:25:16";"D004";"Alimentos Frescos";"Pan";"1"
"D004";"B11";"23/02/2021 21:24:54";"D004";"Alimentos Frescos";"Pan";"1"
"D004";"B07";"23/02/2021 21:24:12";"D004";"Alimentos Frescos";"Pan";"1"
